gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.063,0.373,0.462,0.52,0.84929881,1733600,0.8353652072511396
0.225,0.118,0.421,0.758,0.171784341,347056,0.16723494887387605
0.289,0.005,0.357,0.874,0.04857996,99553,0.04797133853107562
0.261,0.473,0.508,0.79,0.064539414,88465,0.04262839355068763
0.37,0.35,0.49,0.635,0.03090554,64385,0.03102502818923894
0.106,0.309,0.751,0.674,0.779616906,1601514,0.7717172787988011
0.0,0.0,0.634,0.893,0.99888785,2067612,0.9963146786426761
0.078,0.306,0.698,0.966,0.987015597,2017364,0.9721018089299654
0.036,0.306,0.734,0.958,0.98724352,2019427,0.9730959012364716
0.344,0.0,0.345,0.842,0.000547402,1623,0.0007820706803002998
0.295,0.331,0.3,0.55,0.004396078,9851,0.004746875090350125
0.0,0.139,0.896,0.865,0.98745506,2047749,0.9867433478214778
0.294,0.535,0.476,0.744,0.018596233,14526,0.006999604868787526
0.108,0.41,0.753,0.503,0.527903264,1178075,0.5676758574829178
0.165,0.0,0.716,0.953,0.427549043,885461,0.42667472991336025
0.219,0.207,0.319,0.676,0.139896755,282030,0.13590104372464173
0.049,0.441,0.812,0.471,0.337789645,697549,0.3361260757688193
0.113,0.101,0.622,0.812,0.633830283,1293148,0.6231257770110733
0.2,0.411,0.534,0.426,0.04554564,141678,0.06826999990362653
0.0,0.062,0.813,0.775,0.987225691,2046328,0.9860586143422992
0.0,0.262,0.762,0.574,0.955887434,1985799,0.9568916665863555
0.125,0.304,0.854,0.701,0.518483717,1067307,0.5143003768202539
0.121,0.378,0.742,0.535,0.4645637,1017401,0.49025230573518497
0.302,0.249,0.467,1.0,0.070247617,143960,0.06936962115590335
0.137,0.495,0.487,0.5,0.015068962,25637,0.012353632797818105
0.444,0.012,0.835,0.981,0.015441928,33646,0.01621290826209728
0.079,0.266,0.648,0.571,0.952695543,1947487,0.9384303653518113
0.166,0.159,0.647,0.748,0.425059715,866282,0.41743299634744563
0.076,0.402,0.627,0.434,0.231946952,476493,0.22960641076298874
