gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.0,0.238,0.826,0.727,0.986743341,2044982,0.9854100209130422
0.0,0.58,0.868,0.698,0.024550189,51504,0.02481809508206201
0.015,0.013,0.716,0.955,0.987126426,2020346,0.9735387373148425
0.171,0.368,0.551,0.54,0.365225256,785763,0.37863352061910316
0.0,0.178,0.914,0.735,0.986880192,2047826,0.9867804516060639
0.112,0.0,0.59,0.909,0.647679639,1339891,0.6456497017241213
0.342,0.404,0.381,0.475,0.008770953,23670,0.011405799755211395
0.141,0.163,0.597,0.801,0.469713419,965513,0.46524917359752516
0.131,0.315,0.592,0.583,0.47277135,994708,0.4793172903636171
0.019,0.162,0.531,0.734,0.981544472,2012605,0.9698086022956159
0.256,0.083,0.374,0.805,0.096103185,198444,0.09562368088817787
0.373,0.273,0.684,0.957,0.039143066,76731,0.03697416227364282
0.091,0.0,0.558,0.872,0.976675201,2022504,0.9745786070179159
0.311,0.438,0.346,0.538,0.013815625,30644,0.014766342530574482
0.339,0.406,0.524,0.507,0.030112386,82095,0.03955889864402533
0.227,0.321,0.474,0.515,0.12648108,307740,0.14828985283771673
0.049,0.203,0.661,0.695,0.98529292,2015593,0.9712484218844868
0.0,0.0,0.753,0.973,0.999865077,2068592,0.9967869086283164
0.0,0.0,0.769,0.906,0.999895917,2069090,0.9970268785597949
0.262,0.469,0.48,0.511,0.027904469,54460,0.026242494916299645
0.136,0.042,0.603,0.924,0.481769263,990203,0.4771464780316683
0.041,0.209,0.668,0.627,0.979000693,2001626,0.9645181808544472
0.0,0.291,0.825,0.613,0.976157675,2023017,0.9748258049593785
0.0,0.368,0.853,0.469,0.59089251,1226205,0.5908681321858466
0.197,0.193,0.544,0.766,0.317966577,658027,0.31708171506220906
0.138,0.207,0.586,0.672,0.473967346,977493,0.4710219442383123
0.153,0.182,0.35,0.741,0.398530015,823889,0.39700519452984206
0.052,0.088,0.806,0.895,0.987425666,2023116,0.9748735098252749
0.0,0.013,0.782,0.935,0.987399163,2045832,0.9858196081454854
0.337,0.382,0.37,0.454,0.004768561,13140,0.006331736746239026
0.0,0.092,0.715,0.794,0.986986203,2042734,0.9843267831500632
0.0,0.045,0.552,0.792,0.983345211,2037687,0.9818947987240153
0.0,0.288,0.796,0.625,0.979019004,2027977,0.9772158669275175
0.188,0.367,0.436,0.627,0.363384522,751785,0.3622606324026869
0.157,0.045,0.466,0.891,0.429857671,888514,0.42814587087882966
0.0,0.108,0.75,0.792,0.987196297,2043776,0.9848288889103052
0.0,0.249,0.846,0.588,0.966197954,2004179,0.9657483881537735
0.047,0.284,0.814,0.628,0.979756744,2006479,0.9668566830180315
0.181,0.07,0.531,0.805,0.401004887,826749,0.3983833351001802
0.0,0.0,0.761,0.937,0.999880497,2068841,0.9969068935940557
0.243,0.313,0.479,0.586,0.133325045,292522,0.14095679577498724
0.23,0.213,0.53,0.7,0.17380433,360253,0.17359415205805537
0.0,0.0,0.726,0.91,0.999714253,2067751,0.9963816582018639
